Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1266523,-,-,-,40.81,-73.3,-5,47,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2010,1,1,0,30,0,0,0,7,17,160.86,0.8669000267982483,1,1.6400000000000001,213,100.0,0,10.0
2010,1,1,1,30,0,0,0,7,17,153.52,0.8669000267982483,0,1.595,204,99.88,0,10.0
2010,1,1,2,30,0,0,0,4,16,143.31,0.8669000267982483,0,1.542,354,99.63,0,10.0
2010,1,1,3,30,0,0,0,4,16,132.17000000000002,0.8669000267982483,1,1.496,332,99.51,0,10.0
2010,1,1,4,30,0,0,0,4,16,120.84,0.8669000267982483,1,1.453,321,99.47,0,10.0
2010,1,1,5,30,0,0,0,4,16,109.65,0.8669000267982483,1,1.397,316,99.07000000000001,0,10.0
2010,1,1,6,30,0,0,0,4,16,98.88,0.8669000267982483,1,1.327,312,98.49000000000001,0,10.0
2010,1,1,7,30,4,0,4,4,16,88.82000000000001,0.8669000267982483,1,1.252,310,98.24000000000001,0,10.0
2010,1,1,8,30,52,0,52,4,14,79.81,0.8669000267982483,1,1.179,309,94.37,1,10.0
2010,1,1,9,30,70,0,70,4,16,72.32000000000001,0.8669000267982483,1,1.117,305,96.96000000000001,1,10.0
2010,1,1,10,30,103,0,103,4,13,66.89,0.8669000267982483,1,1.076,304,91.89,2,10.0
2010,1,1,11,30,150,3,151,4,11,64.08,0.8669000267982483,1,1.058,308,86.87,3,10.0
2010,1,1,12,30,185,236,288,8,12,64.23,0.8669000267982483,1,1.056,310,88.18,3,10.0
2010,1,1,13,30,149,26,159,7,13,67.34,0.8669000267982483,1,1.047,307,89.19,3,10.0
2010,1,1,14,30,102,343,202,4,14,73.01,0.8669000267982483,1,1.02,327,91.32000000000001,3,10.0
2010,1,1,15,30,67,348,123,4,18,80.68,0.8669000267982483,1,0.997,347,98.25,2,10.0
2010,1,1,16,30,0,0,0,4,15,89.81,0.8669000267982483,2,0.979,350,94.2,2,10.0
2010,1,1,17,30,0,0,0,4,15,99.96000000000001,0.8669000267982483,2,0.97,352,94.45,2,10.0
2010,1,1,18,30,0,0,0,4,15,110.78,0.8669000267982483,2,0.969,352,94.42,2,10.0
2010,1,1,19,30,0,0,0,4,15,121.99000000000001,0.8669000267982483,2,0.961,348,94.41,2,10.0
2010,1,1,20,30,0,0,0,4,15,133.32,0.8669000267982483,2,0.9450000000000001,347,94.38,2,10.0
2010,1,1,21,30,0,0,0,4,18,144.4,0.8669000267982483,3,0.926,342,100.0,1,10.0
2010,1,1,22,30,0,0,0,4,18,154.42000000000002,0.8669000267982483,3,0.901,337,99.98,1,10.0
2010,1,1,23,30,0,0,0,4,17,161.23,0.8669000267982483,3,0.864,333,98.39,1,10.0
2010,1,2,0,30,0,0,0,4,17,160.81,0.8669000267982483,4,0.8240000000000001,331,100.0,0,9.9
2010,1,2,1,30,0,0,0,4,13,153.52,0.8669000267982483,4,0.795,329,94.82000000000001,0,9.9
2010,1,2,2,30,0,0,0,4,11,143.34,0.8669000267982483,4,0.783,326,91.29,0,9.9
2010,1,2,3,30,0,0,0,7,10,132.21,0.8669000267982483,4,0.781,322,89.99,0,9.9
2010,1,2,4,30,0,0,0,7,10,120.87,0.8669000267982483,4,0.78,319,89.22,0,9.9
2010,1,2,5,30,0,0,0,7,9,109.68,0.8669000267982483,4,0.775,317,87.71000000000001,0,9.9
2010,1,2,6,30,0,0,0,7,7,98.91,0.8669000267982483,5,0.764,315,85.48,0,9.9
2010,1,2,7,30,5,0,5,4,5,88.83,0.8669000267982483,5,0.749,314,82.73,0,9.9
2010,1,2,8,30,46,0,46,4,7,79.81,0.8669000267982483,5,0.735,315,86.45,-1,9.9
2010,1,2,9,30,118,241,192,4,5,72.3,0.8669000267982483,5,0.723,316,84.45,-1,9.9
2010,1,2,10,30,165,216,250,4,4,66.84,0.8669000267982483,5,0.709,318,82.61,-1,9.9
2010,1,2,11,30,189,222,286,4,2,64.0,0.8669000267982483,6,0.6930000000000001,319,80.14,-1,9.9
2010,1,2,12,30,185,65,214,7,0,64.13,0.8669000267982483,6,0.677,319,76.98,-1,9.9
2010,1,2,13,30,157,268,261,4,1,67.22,0.8669000267982483,6,0.664,319,79.92,-2,9.9
2010,1,2,14,30,110,284,193,7,0,72.87,0.8669000267982483,6,0.65,318,77.73,-2,9.9
2010,1,2,15,30,68,53,77,7,-2,80.54,0.8669000267982483,6,0.634,317,75.35000000000001,-2,9.9
2010,1,2,16,30,0,0,0,7,-1,89.67,0.8669000267982483,6,0.613,316,77.97,-3,9.9
2010,1,2,17,30,0,0,0,4,-1,99.82000000000001,0.8669000267982483,6,0.586,314,79.72,-4,9.9
2010,1,2,18,30,0,0,0,4,-5,110.64,0.8669000267982483,7,0.554,312,74.71000000000001,-4,9.9
2010,1,2,19,30,0,0,0,4,-4,121.85000000000001,0.8669000267982483,7,0.52,310,76.51,-5,9.9
2010,1,2,20,30,0,0,0,4,-2,133.18,0.8669000267982483,7,0.488,307,80.13,-6,9.9
2010,1,2,21,30,0,0,0,4,-4,144.26,0.8669000267982483,7,0.465,303,78.65,-6,9.9
